ID,Text_ro,Text_rom,ro,rmy
,,,"Bărbaţilor, iubiţi-vă nevestele cum a iubit şi Hristos Biserica şi S'a dat pe Sine pentru ea,","Tume le rhom, te avel tumenge drago tumare rhomnia saikfielo sar O Kristo sas leske drago e khangeri ai dia pesko traio."
,,,"Luaţi seama dar, fraţilor, ca niciunul dintre voi să n'aibă o inimă rea şi necredincioasă, care să vă despartă de Dumnezeul cel viu.","Murhe phral, arakhen tume, te na arakhes o nasulimos ande chi iek manush mashkar tumende, ke o ilo kai chi pachal ingerel les dur katar O Del o zhuvindil."
,,,"Omul acesta a dobîndit un ogor cu plata nelegiuirii lui, a căzut cu capul în jos, a plesnit în două prin mijloc, şi i s'au vărsat toate măruntaiele.","Le lovensa kai dine les te purhisar O Jesus. O Judas chindia peske iek kimpo, ai amboldia pe o shero pervo, ai lesko stato pharhadilo mashkaral, ai sa lesko porha ankliste avri."
,,,"Deasupra Lui era scris cu slove greceşti, latineşti şi evreeşti: ,,Acesta este Împăratul Iudeilor.``","Opral pa lesko shero ramolaspe ande shiba le Greksisko, ai Latinesko, ai Zhiduviska, ""Kado si O AMPERATO LE ZHIDOVONGO."""
,,,"În cele ce vă scriu, iată, înaintea lui Dumnezeu, nu mint.",So ramov tumenge akana chachimos si. Phenav angla Del ke chi xoxavav!
,,,"În ce priveşte Evanghelia, ei sînt vrăjmaşi, şi aceasta spre binele vostru; dar în ce priveşte alegerea, sînt iubiţi, din pricina părinţilor lor.","Te dikhasa sar le Zhiduvuria chi mangle e lashi viasta, won si le duzhmaia le Devleske pe tumaro lashimos. Numa te dikhasa o alomos kai sas kerdo katar O Del, won si kodola kai O Del mangel pala lenge dada."
,,,"Atunci, după ce au postit şi s'au rugat, şi-au pus mînile peste ei, şi i-au lăsat să plece.","Antunchi kana rhugisaile ai postisarde, thode le vas pe lende, ai rhudisarde lenge, ai mekle le te zhantar."
,,,"Dar tatăl a zis robilor săi: ,Aduceţi repede haina cea mai bună, şi îmbrăcaţi -l cu ea; puneţi -i un inel în deget, şi încălţăminte în picioare.","Numa o dat phendia peske slugenge. ""Anen mai sigo e mai shukar rhocha, ai den la pe leste, thon leske angrusti po nai, ai shpargati andel punrhe;"
,,,",Nu vreau,` i -a răspuns el. În urmă, i -a părut rău, şi s'a dus.","Wo phendias, ""Chi zhav"" numa mai palal keisailo ai gelo."
,,,"Noroadele îl întrebau, şi ziceau: ,,Atunci ce trebuie să facem?``","Antunchi o narodo phushelas les, ""So trobul te keras?"""
,,,"Adevărat, adevărat, vă spun, că robul nu este mai mare decît domnul său, nici apostolul mai mare decît cel ce l -a trimes.","Chachimasa, chachimasa, phenav tumenge, e sluga nai mai bari sar pesko Gazda; chi o manush kai si tradino nai mai baro katar kodo kai tradia les."
,,,"El i -a zis şi lui: ,,Primeşte şi tu cîrmuirea a cinci cetăţi.``","O gazda phendia leske, ""Vi tu poronchisa pe pansh foruria."""
,,,Aşa că n'ar putea dovedi lucrurile de cari mă pîrăsc acum.,Ai nai le so te sikaven te dosharen ma akana.
,,,"Iată că securea a şi fost înfiptă la rădăcina pomilor: deci, orice pom, care nu face roadă bună, va fi tăiat şi aruncat în foc.","""O tover ka le vuni la krengake; ke che godi krenga chi dela lashi fruta avela shindi, ai shudini ande iag."
,,,"Apoi am văzut în cer un alt semn mare şi minunat: şapte îngeri, cari aveau şapte urgii, cele din urmă, căci cu ele s'a isprăvit mînia lui Dumnezeu.","Porme dikhlem aver bari diela ando rhaio, baro ai shodo: efta angeluria inkerenas le efta baiuria, ai kadalensa e xoli le Devleski si gata."
,,,"Să nu vă lăsaţi amăgiţi de orice fel de învăţături străine; căci este bine ca inima să fie întărită prin har, nu prin mîncări, cari n'au slujit la nimic celorce le-au păzit. -","Na mek le xoxamle sicharimata te ingeren tume po drom kai nai vorta angla Del. Amare ile aven zurale katar o mishtimos le Devlesko, ai nai katar le zakonuria pa xabe, so te xas, o zakono kai chi zhutisardia kodola kai zumade kodia."
,,,"Gîndiţi-vă la lucrurile de sus, nu la cele de pe pămînt.","Sagda gindin pa dieli kai so opre, ai na pe dieli kai si pe phuv."
,,,"Ce este de făcut atunci? Mă voi ruga cu duhul, dar mă voi ruga şi cu mintea; voi cînta cu duhul, dar voi cînta şi cu mintea.","So te kerav? Rhugiv ma le duxosa, ai rhugiv ma vi la gojako, jilabav le duxosa, ai jilabav vi la gojasa."
,,,"Ucenicii trecuseră de cealaltă parte, şi uitaseră să ia pîni.","Le disipluria aresle pe kaver rig le paieske, numa busterde te len manrho pesa."
,,,"Ci Iudeu este acela care este Iudeu înlăuntru; şi tăiere împrejur este aceea a inimii, în duh, nu în slovă; un astfel de Iudeu îşi scoate lauda nu dela oameni, ci dela Dumnezeu.","numa o chacho Zhidovo si kodo kai si andral, ai kan si semno ande lesko ilo, iek semno kai avel katar O Swunto Duxo le Devlesko, ai na katar o zakono kai si ramome, o chacho Zhidovo avel lesko barimos na katar le manush, numa katar O Del."
,,,"ci creşteţi în harul şi în cunoştinţa Domnului şi Mîntuitorului nostru Isus Hristos. A Lui să fie slava, acum şi în ziua veciniciei. Amin","Numa zhan angle, barion ando lashimos, ai ando zakono amare Devlesko ai skepitoresko O Jesus Kristo. Leske te avel o barimos, akana ai ande swako vriama! Amen."
,,,"dar cînd va veni ce este desăvîrşit, acest ,,în parte`` se va sfîrşi.","Numa kana so si vorta avela, so si dopash xasavola."
,,,",,Doamne, ai milă de fiul meu, căci este lunatic, şi pătimeşte rău: de multe ori cade în foc, şi de multe ori cade în apă.","ai phendias, ""Gazda, al tuke mila anda murho shav! Ke beng ande leste, ai chinuil zurales, butivar perel ande iag, ai butivar perel ando pai."
,,,"Astfel, în ce mă priveşte pe mine, am o vie dorinţă să vă vestesc Evanghelia vouă celor din Roma.","Anda kodia sima ando ilo te phenav tumenge e lashi viasta, vi tumenge kai san ande Rome."
,,,"Tot aşa, curva Rahav: n'a fost socotită şi ea neprihănită prin fapte, cînd a găzduit pe soli şi i -a scos afară pe altă cale?","Sakadia sas la Rahabaki e kurva. Sas jindi vorta katar O Del pala lashimos kai kerelas, woi kai premisardiasas le Devleske manushen le Zhidovon, ai zhutisardiasas le te zhantar pa aver drom."
,,,"şi să vă dea odihnă atît vouă, cari sînteţi întristaţi, cît şi nouă, la descoperirea Domnului Isus din cer, cu îngerii puterii Lui,","Ai dela e pacha tumen kai chinuin, ai vi amen. Wo kerela kodia kana O Jesus Kristo avela anda rhaio peske angelonsa kai si le putiera."
,,,"În ziua întîi a săptămînii, femeile acestea, şi altele împreună cu ele, au venit la mormînt dis de dimineaţă, şi au adus miresmele, pe cari le pregătiseră.","Kana phuterdilo o dies po pervo dies le kurkoske, avile ka greposhevo te angeren le vuloia ai duxuria kai lasharde sas."
,,,",,Cred, Doamne``, I -a zis el; şi I s'a închinat.","Phendia leske, ""Gazda, Pachav ma!"" ai dia changa angla leste."
,,,"Isus le -a răspuns: ,,Adevărat vă spun că, atunci cînd va sta Fiul omului pe scaunul de domnie al măririi Sale, la înoirea tuturor lucrurilor, voi, cari M'aţi urmat, veţi şedea şi voi pe douăsprezece scaune de domnie, şi veţi judeca pe cele douăsprezece seminţii ale lui Israel.","O Jesus phendia lenge, ""Phenav tumenge o chachimos, ande nevi lumia kana O Shav le Manushesko beshela pe pesko skamin o amperatitsko ando barimos le rhaiosko, tume kai lian tume pala mande, si te beshen pe desh u dui amperatitske skamina, te shinen kris pe le desh u dui vitsi andai Israel."
,,,"Dar, ca să nu te ţin prea mult, te rog să asculţi, în bunătatea ta, cîteva cuvinte.","Numa te na xasaras chi vriama, mangav ma tutar te ashunes ande cho lashimos so si ame te mothas tuke ande xantsi vorbi."
,,,"Au rînduit presbiteri în fiecare Biserică, şi după ce s'au rugat şi au postit, i-au încredinţat în mîna Domnului, în care crezuseră.","Ando swako khangeri, won alosarde le mai phure lenge, ai rhugisaile ai postisarde, ai mangenas katar O Del te arakhel le ande kodo Del, kai pachaiesaspe."
,,,"Şi Dumnezeu, care cunoaşte inimile, a mărturisit pentru ei, şi le -a dat Duhul Sfînt ca şi nouă.","Ai O Del, kai zhanel le ile, sikadia lenge o chachimos kana dia vi len O Swunto Duxo sar amen;"
,,,"Duceţi-vă dar la răspîntiile drumurilor, şi chemaţi la nuntă pe toţi aceia pe cari -i veţi găsi.`","Anda kodia zhan pel bare vulitsi, ai sode arakhena kotse, akharen le ka o abiav."
,,,După aceea era un praznic al Iudeilor; şi Isus S'a suit la Ierusalim.,Pala kodia sas iek pachiv le Zhidovongi; ai O Jesus gelo ando Jerusalem.
,,,"Şi darul fără plată nu vine ca printr'acel unul care a păcătuit; căci judecata venită dela unul, a adus osînda; dar darul fără plată venit în urma multor greşeli a adus o hotărîre de iertare.","Ai e podarka le Devleski nai sar o bezex le ieke manushesko Adam. E kris kai avili pala bezex palai iek kerdia te dosharel, numa e podarka dini ivia pala but shipke si te kerel o skepimos."
,,,"În dragoste nu este frică; ci dragostea desăvîrşită izgoneşte frica; pentrucă frica are cu ea pedeapsa; şi cine se teme, n'a ajuns desăvîrşit în dragoste.","Nai dar ande dragostia. Ai e chachi dragostia gonil e dar. E dragostia nai chachi ande kodo kai daral, ke e dar kerel te gindis ke doshalo san."
,,,"Şi un tînăr, numit Eutih, care şedea pe fereastră, a adormit deabinelea în timpul lungei vorbiri a lui Pavel; biruit de somn, a căzut jos din catul al treilea, şi a fost ridicat mort.","Sas iek terno manush kai busholas Eutychus, kai beshelas pe feliastra; ai lia les e lindri zurales ande kodia kai ashunelas o divano kai motholas o Pavlo, ai ande kodia lindri pelo de katar e trito feliastra zhi tele pe phuv. Numa kana gele te vazden les, wo mulo sas."
,,,"Surorile au trimes la Isus să -i spună: ,,Doamne, iată că acela pe care -l iubeşti, este bolnav.``","Le dui pheia trade ieke manushes te phenen ka Jesus, ""Devla, kodo kai si tuke drago si naswalo."""
,,,"Prin urmare, a trebuit să Se asemene fraţilor Săi în toate lucrurile, ca să poată fi, în ce priveşte legăturile cu Dumnezeu, un mare preot milos şi vrednic de încredere, ca să facă ispăşire pentru păcatele norodului.","No O Jesus trobulas te avel sar ame, leske phral, wo trobulsardia te avel iek anda amende te avel amaro Baro Rasha kai zhal mashkar O Del ai amen. Sas les mila pe amende, kerdia sa so si vorta. Wo dia pes sar ek podarka te merel po trushul amare bezexenge te na dosharel ame O Del, numa te iertil ame."
,,,"Şi, dacă vreţi să înţelegeţi, el este Ilie, care trebuia să vină.","Ai te mangena te primin, wo si o Elijah, kai sas te avel."
,,,"Şi iată că un înger al Domnului s'a înfăţişat înaintea lor, şi slava Domnului a strălucit împrejurul lor. Ei s'au înfricoşat foarte tare.","Ek angelo le Devlesko sikadilo lenge, ai o barimos le Devlesko strefial pe lende: ai won daraile,"
,,,Ceilalţi morţi n'au înviat pînă nu s'au sfîrşit cei o mie de ani. Aceasta este întîia înviere.,Le kaver kai mule chi avena palpale ka traio zhi kana le iek mi bersh getonpe. Kodo si o pervo zhuvindimos o pervo data kana but manush si vazdine andai martia ka traio andek than.
,,,"Daţi tuturor ce sînteţi datori să daţi: cui datoraţi birul, daţi -i birul; cui datoraţi vama, daţi -i vama; cui datoraţi frica, daţi -i frica; cui datoraţi cinstea, daţi -i cinstea.","Pochinen savorhenge so kamen lenge, pochinen so kamen kodolenge so trobul te pochinen, ai pochinen le love pe tumari phuv kodoleske kai trobul te avel pochindo, sikaven ke lazhan katar kodo kai kamen leske, ai keren vorta kodolesa kai trobul te keren vorta."
,,,"Fratele va da la moarte pe frate-său, şi tatăl pe copilul lui; copiii se vor scula împotriva părinţilor lor, şi -i vor omorî.","O phral purhila peske phrales te mudaren les, ai o dat purhila peska glata; le glate xoliavona pe pengo dat, ai pengi dei ai kerena te mudaren le."
,,,"El va întoarce pe mulţi din fiii lui Israel la Domnul, Dumnezeul lor.",Anelas palpale buten andal Zhiduvuria ka lenge Del.
,,,"Paştele, praznicul Iudeilor, erau aproape.",Ai O Dies O Baro le Zhidovongo pasholas.
,,,"Petru a răspuns: ,,Omule, nu ştiu ce zici.`` Chiar în clipa aceea, pe cînd vorbea el încă, a cîntat cocoşul.","Ai o Petri phendia, ""Manusha, chi zhanav so phenes, ai strazo sar delas duma o kurkorsho bashlo."
,,,"Şi le -a spus pilda aceasta: ,,Ţarina unui om bogat rodise mult.","Ai phendia lenge aver paramichi, phenelas, ieke manusheske phuvia kai sas barvalo dine les but mishtimos."
,,,"După ce am plecat de acolo, am plutit pe lîngă Cipru, pentrucă vînturile erau potrivnice.","Kana geliamtar kotsar, nakhliam, pai izula kai bushol Cyprus, ke bare barvalia avenas pe amende."
,,,"Deaceea, fiindcă nu mai puteam răbda, am socotit mai bine să fim lăsaţi singuri în Atena,","Kana ando gor nashti mai rhevdisarasas te azhukeras, ame mangliam te beshas korkorho ande Athens."
,,,"Dar şi acum, ştiu că orice vei cere dela Dumnezeu, Îţi va da Dumnezeu.``","Numa vi akana zhanav, ke so godi manges katar O Del, O Del del les tuke."""
,,,"Cu ei s'a întîmplat ce spune zicala adevărată: ,,Cînele s'a întors la ce vărsase``, şi ,,scroafa spălată s'a întors să se tăvălească iarăş în mocirlă.``","Lenge kerdilia so motholas iek chacho Proverb, ""O zhukel gelo te xal so shugliasas pe."" ai ""O balo kai sas xalado gelo palpale ande chik."""
,,,"Şi orice vom cere, vom căpăta dela El, fiindcă păzim poruncile Lui, şi facem ce este plăcut înaintea Lui.","Ai so godi mangasa lestar, wo dela ame, ke ame las ame pala lesko zakono, ai keras so si leske drago."
,,,"A văzut şi pe o văduvă săracă, aruncînd acolo doi bănuţi.",Ai vi dikhlia ek chorhi phivli sar tholas dui xarkune kotora.
,,,"Noaptea, Pavel a avut o vedenie: un om din Macedonia sta în picioare şi i -a făcut următoarea rugăminte: ,,Treci în Macedonia, şi ajută-ne!``","Ande kodia riat o Pavlo dikhlia ek vizion, ek manush andai Macedonia sikadilo lesko, ai rhugisailo leste, ai phendia, aidi amende ande Macedonia, ai zhutisar ame."
,,,"De aceea credinţa aceasta ,,i -a fost socotită ca neprihănire.``","Anda kodia o Abraham pala pesko pachamos, sas jindo vorta katar O Del."
,,,"Cele înţelepte le-au răspuns: ,Nu; ca nu cumva să nu ne ajungă nici nouă nici vouă; ci mai bine duceţi-vă la cei ce vînd untdelemn şi cumpăraţi-vă.`","Le gojaver phende, ""Nashtis, ke kam chi avel dosta tumenge ai vi amenge, zhan ka kodola kai bichinen vuloi ai chinen tumenge."
,,,"Aşa a făcut ea timp de mai multe zile. Pavel, necăjit, s'a întors, şi a zis duhului: ,,În Numele lui Isus Hristos îţi poruncesc să ieşi din ea.`` Şi a ieşit chiar în ceasul acela.","Ai woi phendia kadia but dies, chi haliarelas les. O Pavlo nashti mai rhevdilas, boldinisailo karing late, ai phendia le bengeske, ""Ando anav le Jesus Kristosko ankli avri anda late."" Ai strazo anklisto avri."
,,,Cunoaştem că rămînem în El şi că El rămîne în noi prin faptul că ne -a dat din Duhul Său.,"Ame zhanas ke traiisaras ando Del, ai ke O Del traiil ande amende, pala Swunto Duxo kai dia ame."
,,,"După ce a zis întîi: ,,Tu n'ai voit şi n'ai primit nici jertfe, nici prinoase, nici arderi de tot, nici jertfe pentru păcat``, (lucruri aduse toate după Lege),","Porme O Kristo phendia, ""Tu chi manges le zhigeni mudarde vai le podarki dine te luvudin tut pala o bezex. Tu chi san plachardo lensa."" Kadala dieli kerdion ke o zakono phenel te keren kadia."
,,,"Eu în ei, şi Tu în Mine; -pentruca ei să fie în chip desăvîrşit una, ca să cunoască lumea că Tu M'ai trimes, şi că i-ai iubit, cum M-ai iubit pe Mine.","Me ande lende, ai tu ande mande, saxke te aven vorta ande iek; ai e lumia te zhanel ke tu tradian ma, ai ke sas tumenge drazhi mange, sar simas drago tuke."
,,,"Vă îndemn, fraţilor, pentru Numele Domnului nostru Isus Hristos, să aveţi toţi acelaş fel de vorbire, să n'aveţi desbinări între voi, ci să fiţi uniţi în chip desăvîrşit într'un gînd şi o simţire.","Te avel tume savorhen iek divano ai te na avel mashkar tumende xuliamata, numa te aven mishto, chidine ande iek gindo ai iek zakono."
,,,"Isus a strigat cu glas tare: ,,Tată, în mînile Tale Îmi încredinţez duhul!`` Şi cînd a zis aceste vorbe Şi -a dat duhul.","Ai kana O Jesus dias mui andek baro glaso, ""Murho Dat, thav murho duxo ande che vas, ai phendia kadala vorbi, mulo."
,,,"Şi eu, ce -i drept, credeam că trebuie să fac multe lucruri împotriva Numelui lui Isus din Nazaret,","""Me gindivas, ke trobulas vari so te rimov o anav kodoleske kai si O Jesus andai Nazareth,"
,,,De aceea vă spun: Orice păcat şi orice hulă vor fi iertate oamenilor; dar hula împotriva Duhului Sfînt nu le va fi iertată.,"Anda kodia phenav tumenge: ""Vari savo bezex vai kai den duma nasul le manush sai iertilpe; numa kon dela duma nasul pe Swunto Duxo shoxar chi avela iertime."
,,,"Cine îşi iubeşte viaţa, o va pierde; şi cine îşi urăşte viaţa în lumea aceasta, o va păstra pentru viaţa vecinică.",Savo kai si leske drago kado traio xasarela les; ai kodo kai gretsol kado traio ande kadia lumia garavel les te zhal ando traio le rhaiosko.
,,,"atunci de ce nu mi-ai pus banii la zarafi, pentruca, la întoarcerea mea, să -i fi luat înapoi cu dobîndă?``","Apo, ""Sostar chi thodian murhe love ande banka? Saxke, kana avilemas khere sas te bution?"""
,,,"El ne -a înviat împreună, şi ne -a pus să şedem împreună în locurile cereşti, în Hristos Isus,","Ande amaro phanglimos le Kristosa O Del andia ame ka traio lesa, te traiisaras lesa ande lumia kai si ando rhaio:"
,,,Isus plîngea.,O Jesus ruiia.
,,,"Îndrăzneala, pe care o avem la El, este că, dacă cerem ceva după voia Lui, ne ascultă.","Anda kodia ame sai pashuas pasha Del sa amare ilesa, ai zhanas ke te mangasa vari so lestar kai si ande leski voia, wo ashunela amende."
,,,"Dar el, care vroia să se îndreptăţească, a zis lui Isus: ,,Şi cine este aproapele meu?``","O manush mangelas te miazol lasho sas, phushlia le Jesusoske, ""Kon si murho vortako?"""
,,,"şi să fiu găsit în El, nu avînd o neprihănire a mea, pe care mi -o dă Legea, ci aceea care se capătă prin credinţa în Hristos, neprihănirea, pe care o dă Dumnezeu, prin credinţă.","Ai te avav vorta astardo leste, ai chi mai jinav ke vorta sim angla Del ke lav ma pala zakono. Numa me sim vorta angla Del pala murho pachamos ando Kristo."
,,,Credea că fraţii lui vor pricepe că Dumnezeu prin mîna lui le va da izbăvirea; dar n'au priceput.,Wo gindilas ke leske phral le Zhiduvuria haliarenas ke O Del si te tradel lenge o skepimos katar o Moses; numa won chi haliarde.
,,,"Şi nu numai ea, dar şi noi, cari avem cele dintîi roade ale Duhului, suspinăm în noi, şi aşteptăm înfierea, adică răscumpărarea trupului nostru.","Numa na ferdi e lumia; ame kai si ame vunzhe O Swunto Duxo sar o pervo andal podarki le Devleski, iame suspinisaras andral zhi kai azhukeras te kerel O Del peske shave anda amende, ai te ankalavel amaro stato anda bezex."
,,,"Cît priveşte strîngerea de ajutoare pentru sfinţi, să faceţi şi voi cum am rînduit Bisericilor Galatiei.","Anda so si o chidimos karing le swuntsi, keren vi tume sar phendem le khangeriange andai Galatia."
,,,"şi că a -L iubi cu toată inima, cu tot cugetul, cu tot sufletul, şi cu toată puterea, şi a iubi pe aproapele ca pe sine, este mai mult decît toate arderile de tot şi decît ,,toate jertfele.``","Ai te avel leske drago O Del sa peske ilesa, ai sa peske haliarimos, ai sa peske duxosa, ai sa peske zorasa, ai te avel leske drago le manush sar si les leske, mai mishto si te keren le dui zakonuria sar te thon zhegeni ai aver podarki po altari ande tampla pala e sakrifis."""
,,,"Şi că nimeni nu este socotit neprhănit înaintea lui Dumnezeu, prin Lege, este învederat, căci ,,cel neprihănit prin credinţă va trăi.``","Akana mishto si phendo ke khonik nashtil te avel jindo vorta angla Del pala zakono; ke E Vorba le Devleski mothol, ""Kodo kai si vorta anglal iakha le Devleske pala pachamos traiila."""
,,,",,Veniţi de prînziţi,`` le -a zis Isus. Şi nici unul din ucenici nu cuteza să -L întrebe: ,,Cine eşti?`` căci ştiau că este Domnul.","O Jesus phendia lenge, ""Aven ai xan."" Ai chi iek andal disipluria chi tromailo te phushel lestar, ""Kon san tu?"" ke åanenas ke O Del si."
,,,"Cel ce şedea pe el, avea înfăţişarea unei pietre de iaspis şi de sardiu; şi scaunul de domnie era înconjurat cu un curcubeu ca o piatră de smaragd la vedere.","Kodo kai beshlo kotse miazolas sar ek Jasper-diamond parno kai strefialas ek baro strefaimos ai ek Sardius-lolo bax kai strefial, ai ek rhaza kruglom O Swunto Than kai Wo beshel, Kodo miazolas sar ek Emerald-zeleno bax."
,,,"Şi au făcut aceasta nu numai cum nădăjduisem, dar s'au dat mai întîi pe ei înşişi Domnului, şi apoi nouă, prin voia lui Dumnezeu.","Ai chi ferdi zhutisarde ando tovaro sar ame azhukerasas, numa dine pe won mai anglal ka Del, porme dinepe amenge ande voia le Devleski."
,,,"Este un singur Domn, o singură credinţă, un singur botez.","Ferdi iek Devles, iek pachamos, ai iek bolimos;"
,,,"şi am auzit despre credinţa voastră în Hristos Isus, şi despre dragostea, pe care o aveţi faţă de toţi sfinţii,","De katar ashundiam pa tumaro pachamos kai si tume ando Jesus Kristo, ai e dragostia kai si tume ka le Devleske narodoske."
,,,"Şi dacă n'a înviat Hristos, credinţa voastră este zădarnică, voi sînteţi încă în păcatele voastre,","Ai te O Kristo nai zhuvindime, tumaro pachamos intainalo, inker san ande tumare bezex."
,,,Ucenicii uitaseră să ia pîni; cu ei în corabie n'aveau decît o pîne.,"Le disipluria bustarde te len manrho pesa, ai sas le ferdi iek manrho lensa ando chuno."
,,,"Cînd a auzit Isus, le -a zis: ,,De ce faceţi supărare femeii? Ea a făcut un lucru frumos faţă de Mine.","O Jesus haliardias, ai phendias lenge, ""Sostar dosharen kadala zhuvlia? Ke so woi kerdias mange si de sa shukar diela."
,,,Pe cînd acum vă făliţi cu lăudăroşiile voastre! Orice laudă de felul acesta este rea.,"Numa akana tume raduin tume ande tumare barimata; ai kasavestar raduimos si bezex,"
,,,"Cum a fost dată bucăţica, a intrat Satana în Iuda. Isus i -a zis: ,,Ce-ai să faci, fă repede.``","Ai sar o kotor manrho sas dino o beng dia ande leste. O Jesus phendia leske, ""So si tu te keres, keres les sigo."""
,,,"În ceasul tămîierii, toată mulţimea norodului se ruga afară.",Sa o narodo rhugilaspe avri ka chaso kai phabarenas e Thumwiia.
,,,"Şi voi v'aţi fălit! Şi nu v'aţi mîhnit mai degrabă, pentruca cel ce a săvîrşit fapta aceasta, să fi fost dat afară din mijlocul vostru!","Ai pherde barimata san, ai chi san ando nekazo? Mai mishto te shudel kodoles mashkar tumende kai kerdia kodia diela."
,,,"V'am scris, părinţilor, fiindcă aţi cunoscut pe Cel ce este dela început. V'am scris, tinerilor, fiindcă sînteţi tari, şi Cuvîntul lui Dumnezeu rămîne în voi, şi aţi biruit pe cel rău.","Ramosardem tumenge, le dadenge, ke zhanen kodoles kai si de anda gor. Ramosardem tumenge, le ternenge, ke zurale san; ai e Vorba le Devleski traiil ande tumende, ai tume nirisardian le benges."
,,,"După ce au prînzit, Isus a zis lui Simon Petru: ,,Simone, fiul lui Iona, Mă iubeşti tu mai mult decît aceştia?`` ,,Da, Doamne``, I -a răspuns Petru, ,,ştii că Te iubesc.`` Isus i -a zis: ,,Paşte mieluşeii Mei.``","Kana getosarde te xan, O Jesus phendia le Simonoske Petri, ""Simon, shav le Jonasosko, san tuke drago mange mai but sar kodola?"" Ai wo phendia leske, ""E Devla, tu zhanes ke sim mange drago tuke."" O Jesus phendia leske, ""Le sama katar murhe bakriorha."""
,,,"Dacă ştiţi că El este neprihănit, să ştiţi şi că oricine trăieşte în neprihănire este născut din El.","Tume zhanen ke O Kristo vorta lo; trobul vi tume te zhanen, ke kon godi kerel si si vorta. Wo si shav Devlesko."
,,,"Dacă Legea a numit ,dumnezei`, pe aceia, cărora le -a vorbit Cuvîntul lui Dumnezeu, -şi Scriptura nu poate fi desfinţată, -","Ai ame zhanas ke e vorba le Devleski si chachi sa data ai nashtil te thol la rigate; ai O Del akhardia le dela, kodolenge kai O Del dia peske vorba."
,,,"cari, prin El, sînteţi credincioşi în Dumnezeu, care L-a înviat din morţi, şi I-a dat slavă, pentruca, credinţa şi nădejdea voastră să fie în Dumnezeu.","Ke pala leste arakhlian o pachamos ando Del, ai porme O Del zhuvindisardia les mashkar le mule, ai porme dia les o barimos; no kadia tumaro pachamos ai o mishtimos kai azhukeren ando Del le."
,,,"Isus tăcea. Şi marele preot a luat cuvîntul şi I -a zis: ,,Te jur, pe Dumnezeul cel viu, să ne spui dacă eşti Hristosul, Fiul lui Dumnezeu.``","Numa O Jesus chi phendias khanch. O rashai o baro phendias leske, ""Thav tut pe solax angla O Del o zhuvindo te phenes amenge dar san tu O Kristo, O Shav le Devlesko."""
,,,"Tot astfel, dupăce au mîncat, a luat paharul, şi li l -a dat, zicînd: ,,Acest pahar este legămîntul cel nou, făcut în sîngele Meu, care se varsă pentru voi.``","Sakadia kana getosarde te xan manrho, wo lia e kuchi, phenelas, ""Kacha kuchi ai o nevo kontrakto ando murho rat, kai shordilo pala tumende."""
,,,",,Nu -l opriţi``, a răspuns Isus, ,,căci nu este nimeni, care să facă minuni în Numele Meu, şi să Mă poată grăi de rău îndată după aceea.","Numa O Jesus phendia leske, ""Na aterdios les: ke nas iek manush kai kerel iek miraklo ande murho anav, kai sai del duma nasul pa mande."""
,,,"Dar Eu vă spun: Să nu juraţi nicidecum; nici pe cer, pentru că este scaunul de domnie al lui Dumnezeu;","Numa me phenav tumenge: te na solaxan vov si, chi po rhaio, ke kotse si o skamin le Devlesko;"
,,,"Nu ne lăudăm peste măsura noastră, adică, nu ne lăudăm cu ostenelile altuia; ci avem nădejdea că, dacă credinţa voastră creşte, va creşte şi cîmpul nostru de lucru între voi, nespus de mult, după măsura noastră.","No chi anklias avri andal musuri kai sas thodine. Chi luvudisavas andai buchi kai kerde le kolaver, numa inker ame pachas ame ke tumaro pachamos bariola, ai ke ame sai kerasa iek buchi but mai bari mashkar tumende, numa beshas sagda andel musuri kai O Del thodia amenge."
,,,"Şi după ce au intrat în corabie, a stat vîntul.","Kana ankliste ando pamphuri, e barval aterdili."
,,,"Atunci mama fiilor lui Zebedei s'a apropiat de Isus împreună cu fiii ei, şi I s'a închinat, vrînd să -I facă o cerere.","Antunchi le Zebedeske shave ai lenge dei avile ka Jesus, thodias pe anda changende angla leste, te mangel vari so lestar."
,,,"El, care este oglindirea slavei Lui şi întipărirea Fiinţei Lui, şi care ţine toate lucrurile cu Cuvîntul puterii Lui, a făcut curăţirea păcatelor, şi a şezut la dreapta Măririi în locurile prea înalte,","O Shav le Devlesko strefial le barimasa le Dadesko. O Shav si sar O Dat ande swako fielo. Si O Shav kai inkerel sa e lumia pala e putiera leski vorbaki. O Shav dia pesko traio te merel po trushul ai te iertil amen katar sa amaro bezexa, ai porme Wo beshlo pe rig e chachi le Devlesko ando rhaio."
,,,"Ucenicul nu este mai pe sus de învăţătorul său, nici robul mai pe sus de domnul său.","Chi iek kai sichol nai mai baro sar kodo kai sicharel les, ai chi iek sluga nai mai bari sar pesko gazda."
,,,"După aceea Domnul a mai rînduit alţi şaptezeci de ucenici, şi i -a trimes doi cîte doi înaintea Lui, în toate cetăţile şi în toate locurile, pe unde avea să treacă El.","Pala kodia O Del mai alosardia aver eftavardesh slugi, ai tradia le dui po dui angla peste ande sa le gava, ai ande sa le thana, kai trobulas wo te zhal."
